date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:14:30	37410/37410	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:30%20GMT	https://laravel.com/docs/5.8/verification	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/verification.html	(from https://laravel.com/docs/5.8)
08:14:31	36537/36537	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:31%20GMT	https://laravel.com/docs/5.8/encryption	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/encryption.html	(from https://laravel.com/docs/5.8)
08:14:32	37260/37260	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:32%20GMT	https://laravel.com/docs/5.8/hashing	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/hashing.html	(from https://laravel.com/docs/5.8)
08:14:33	39206/39206	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:32%20GMT	https://laravel.com/docs/5.8/passwords	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/passwords.html	(from https://laravel.com/docs/5.8)
08:14:33	55553/55553	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:33%20GMT	https://laravel.com/docs/5.8/artisan	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/artisan.html	(from https://laravel.com/docs/5.8)
08:14:34	69379/69379	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:34%20GMT	https://laravel.com/docs/5.8/broadcasting	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/broadcasting.html	(from https://laravel.com/docs/5.8)
08:14:35	54371/54371	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:35%20GMT	https://laravel.com/docs/5.8/cache	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/cache.html	(from https://laravel.com/docs/5.8)
08:14:36	111652/111652	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:36%20GMT	https://laravel.com/docs/5.8/collections	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/collections.html	(from https://laravel.com/docs/5.8)
08:14:37	47713/47713	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:37%20GMT	https://laravel.com/docs/5.8/events	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/events.html	(from https://laravel.com/docs/5.8)
08:14:38	55370/55370	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:38%20GMT	https://laravel.com/docs/5.8/filesystem	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/filesystem.html	(from https://laravel.com/docs/5.8)
08:14:38	95210/95210	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:38%20GMT	https://laravel.com/docs/5.8/helpers	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/helpers.html	(from https://laravel.com/docs/5.8)
08:14:39	65028/65028	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:39%20GMT	https://laravel.com/docs/5.8/mail	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/mail.html	(from https://laravel.com/docs/5.8)
08:14:40	77915/77915	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:40%20GMT	https://laravel.com/docs/5.8/notifications	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/notifications.html	(from https://laravel.com/docs/5.8)
08:14:41	48763/48763	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:41%20GMT	https://laravel.com/docs/5.8/packages	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/packages.html	(from https://laravel.com/docs/5.8)
08:14:42	72413/72413	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:41%20GMT	https://laravel.com/docs/5.8/queues	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/queues.html	(from https://laravel.com/docs/5.8)
08:14:42	51369/51369	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:42%20GMT	https://laravel.com/docs/5.8/scheduling	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/scheduling.html	(from https://laravel.com/docs/5.8)
08:14:42	44798/44798	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:42%20GMT	https://laravel.com/docs/5.8/database	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/database.html	(from https://laravel.com/docs/5.8)
08:14:43	67389/67389	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:43%20GMT	https://laravel.com/docs/5.8/queries	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/queries.html	(from https://laravel.com/docs/5.8)
08:14:44	46539/46539	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2003:44:44%20GMT	https://laravel.com/docs/5.8/pagination	f:/learing/offline/laravel%205.8/laravel.com/docs/5.8/pagination.html	(from https://laravel.com/docs/5.8)
